iter	TotalF1	MultiClass
88	0.5320983524	0.9618708912
89	0.5322852988	0.9613920139
90	0.5327559555	0.9609375579
91	0.5328046863	0.9604264468
92	0.5328702287	0.9599458333
93	0.5334193515	0.9594522569
94	0.5334929613	0.9589506366
95	0.5336748467	0.9585570602
96	0.5338175009	0.958036169
97	0.5340788327	0.9576257523
98	0.5343562246	0.9572582755
99	0.5342004025	0.9568354167
100	0.5343775861	0.9563684606
101	0.5348026785	0.9559849537
102	0.5348793004	0.9555967593
103	0.5351470824	0.9552027199
104	0.5352112151	0.9548646412
105	0.5355334358	0.9544875579
106	0.5357938777	0.9541416667
107	0.5360614284	0.9537925347
108	0.5360365493	0.9534109954
109	0.5364959208	0.9530636574
110	0.5365045365	0.9526872685
111	0.5366453632	0.9523196759
112	0.5368216262	0.9519637731
113	0.5373059176	0.9516256366
114	0.5372032821	0.9512663773
115	0.5376806143	0.9509355903
116	0.537671849	0.9505581019
117	0.5378061948	0.9502206597
118	0.5380182299	0.9499225694
119	0.5382239472	0.9496037037
120	0.5382516454	0.9493287037
121	0.5386922928	0.9490320023
122	0.5388596878	0.9487372106
123	0.5387489952	0.9484321759
124	0.5390245734	0.9480792245
125	0.5391871039	0.9477813657
126	0.5394918691	0.9474730324
127	0.539736088	0.9471980324
128	0.5398507086	0.9468896412
129	0.5398196431	0.9465547454
130	0.5399905133	0.946249537
131	0.5402945484	0.9459744213
132	0.5405434211	0.9456456597
133	0.5404293873	0.9453589699
134	0.5407217832	0.9450956597
135	0.5406777497	0.9448451389
136	0.5406158766	0.9445541667
137	0.5407475472	0.9442887153
138	0.5411049958	0.9439865741
139	0.5413409344	0.9437128472
140	0.5416649478	0.9434884259
141	0.5417648697	0.9432092593
142	0.5419029447	0.9429370949
143	0.5418939152	0.942662037
144	0.5418609613	0.9424385417
145	0.5421849757	0.9422445023
146	0.5423048771	0.9419725694
147	0.5425524509	0.9417298611
148	0.5426044712	0.9414449074
149	0.5426657606	0.941258044
150	0.5428787336	0.9410626157
151	0.5426558436	0.9408548611
152	0.5429288636	0.9406067708
153	0.5429070781	0.9403637731
154	0.5430983369	0.9401314815
155	0.5433474355	0.9399332176
156	0.5434987218	0.9397296296
157	0.5437069904	0.9395097222
158	0.5440964607	0.9392752315
159	0.5438800517	0.9390532407
160	0.5440852424	0.9388380208
161	0.5442130915	0.9386092593
162	0.5442661954	0.9384287037
163	0.5442860084	0.9381965856
164	0.5445208711	0.9379307292
165	0.5446657282	0.9377243056
166	0.544948696	0.9375086227
167	0.5451496913	0.9372113426
168	0.5454780501	0.9368266204
169	0.5455533905	0.9364578704
170	0.5457750967	0.9362498843
171	0.5460581435	0.9359803819
172	0.5464435707	0.9355490741
173	0.5465351842	0.935347338
174	0.5466301955	0.9351686921
175	0.5466210259	0.9349421296
176	0.5469395693	0.9346235532
177	0.5471026333	0.9343761574
178	0.5473192956	0.9340550926
179	0.5475369234	0.9338582176
180	0.5478891861	0.9334828704
181	0.5476590738	0.9332480324
182	0.5479257816	0.9329400463
183	0.5480150652	0.9327536458
184	0.5481078573	0.9324299769
185	0.5482546213	0.9322576968
186	0.5483586921	0.9320128472
187	0.5485828455	0.9317158565
188	0.5487807509	0.9315414931
189	0.548760061	0.9312930556
